Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,ID,cluster_assign,state,country,locality,latitude,longitude,dewlap_group,plot_order
1,0,0,0,0,0,LSUMZH12545b,Cluster_1,SU,Ecuador,Reserva_Faunistica_Cuyabeno_Neotropic_Turis,-0.2172,-75.8069,P,81
0,0,0.41,0.46,0,0.12,LSUMZH14094,Cluster_4,AM,Brazil,Labrea_Rio_Ituxi_Madeirera_Scheffer,-8.3464,-65.7161,U,144
0.62,0,0.01,0.27,0.05,0.06,LSUMZH14327a,Cluster_1,PA,Brazil,Belterra_Agropecuaria_Treviso_LTDA,-3.1467,-54.8296,U,72
0,0,0.18,0.77,0,0.05,LSUMZH15471,Cluster_4,RO,Brazil,Nova_Mamore_PE_Guajara_Mirim,-10.3167,-64.55,U,150
0,1,0,0,0,0,MTR06037,Cluster_2,BA,Brazil,Jussari_Serra_do_Teimoso,-15.1547,-39.5233,U,24
0.33,0.19,0,0,0.39,0.09,MTR06262,Cluster_5,AP,Brazil,Rio_Maraca_Igarape_Camaipi,-0.0242,-51.8972,G,1
0.44,0.18,0,0,0.37,0,MTR06329,Cluster_1,AP,Brazil,Rio_Maraca_Igarape_Camaipi,-0.0242,-51.8972,G,2
0,1,0,0,0,0,MTR12159,Cluster_2,ES,Brazil,Linhares_Floresta_Nacional_de_Goytacazes,-19.4483,-40.0804,Y,29
0,1,0,0,0,0,MTR12298,Cluster_2,ES,Brazil,Linhares_Floresta_Nacional_de_Goytacazes,-19.4483,-40.0804,Y,30
0.88,0.05,0,0.04,0.03,0,MTR12860,Cluster_1,AM,Brazil,Maruim_Sao_Sebastiao_Rio_Abacaxis,-4.3089,-58.6364,Y,70
0.94,0,0,0.06,0,0,MTR13088,Cluster_1,AM,Brazil,Pacamiri_Rio_Abacaxis,-4.5969,-58.2206,U,69
0.84,0.06,0,0.1,0,0,MTR13253,Cluster_1,AM,Brazil,Maruim_Sao_Sebastiao_Rio_Abacaxis,-4.3089,-58.6364,Y,71
0,1,0,0,0,0,MTR13628,Cluster_2,BA,Brazil,Camacan_Fazenda_Sao_Carlos,-15.3799,-39.5424,U,25
0.94,0,0.06,0,0,0,MTR18729,Cluster_1,AM,Brazil,Lago_Chaviana_Itapuru_margem_direita_Rio_Purus,-4.3094,-61.8148,G,58
0.85,0,0.02,0,0,0.13,MTR18813,Cluster_1,AM,Brazil,Lago_Chaviana_Itapuru_margem_direita_Rio_Purus,-4.3094,-61.8148,G,57
0.94,0,0.06,0,0,0,MTR18816,Cluster_1,AM,Brazil,Lago_Chaviana_Itapuru_margem_direita_Rio_Purus,-4.3094,-61.8148,G,56
0.92,0,0.03,0,0,0.06,MTR18870,Cluster_1,AM,Brazil,Lago_Chaviana_Itapuru_margem_direita_Rio_Purus,-4.3094,-61.8148,G,59
0.98,0,0,0,0,0.02,MTR18994,Cluster_1,AM,Brazil,Moiobamba_margem_direita_Rio_Purus,-4.7251,-62.1318,Y,65
1,0,0,0,0,0,MTR19062,Cluster_1,AM,Brazil,Moiobamba_margem_direita_Rio_Purus,-4.7251,-62.1318,Y,63
1,0,0,0,0,0,MTR19178,Cluster_1,AM,Brazil,Moiobamba_margem_direita_Rio_Purus,-4.7251,-62.1318,Y,64
0.97,0,0,0,0,0.03,MTR19188,Cluster_1,AM,Brazil,Moiobamba_margem_direita_Rio_Purus,-4.7251,-62.1318,Y,62
1,0,0,0,0,0,MTR19231,Cluster_1,AM,Brazil,Moiobamba_margem_direita_Rio_Purus,-4.7251,-62.1318,Y,66
0,0,0,0,1,0,MTR20711,Cluster_5,RR,Brazil,Pacaraima,4.4955,-61.1686,P,9
0,0,0,0,1,0,MTR20736,Cluster_5,RR,Brazil,Pacaraima,4.4955,-61.1686,P,11
0,0,0,0,1,0,MTR20738,Cluster_5,RR,Brazil,Pacaraima,4.4955,-61.1686,P,10
0,1,0,0,0,0,MTR21992,Cluster_2,BA,Brazil,Estacao_Ecologica_Estadual_Wenceslau_Guimaraes_EEEWG,-13.5785,-39.7086,G,22
0,1,0,0,0,0,MTR22009,Cluster_2,BA,Brazil,Estacao_Ecologica_Estadual_Wenceslau_Guimaraes_EEEWG,-13.5785,-39.7086,G,23
0,0,0,0,1,0,MTR23059,Cluster_5,RR,Brazil,Serra_da_Maroquinha,2.3714,-61.376,U,15
0,0,0,0,1,0,MTR23096,Cluster_5,RR,Brazil,Serra_da_Maroquinha,2.3714,-61.376,U,14
0,0,0,0,1,0,MTR23120,Cluster_5,RR,Brazil,Serra_da_Maroquinha,2.3714,-61.376,U,18
0,0,0,0,1,0,MTR23155,Cluster_5,RR,Brazil,Serra_da_Maroquinha,2.3714,-61.376,U,17
0,0,0,0,0.97,0.02,MTR23156,Cluster_5,RR,Brazil,Serra_da_Maroquinha,2.3714,-61.376,U,16
0,0.46,0,0,0.54,0,MTR24119,Cluster_5,AP,Brazil,Oiapoque,3.8794,-51.771,U,21
0.01,0.47,0,0.04,0.45,0.03,MTR24137,Cluster_2,AP,Brazil,Oiapoque,3.8794,-51.771,U,19
0,0.5,0,0,0.5,0,MTR24167,Cluster_2,AP,Brazil,Oiapoque,3.8794,-51.771,U,20
0,0,0,1,0,0,MTR25524,Cluster_4,RO,Brazil,PN_Pacaas_Novos,-10.7692,-63.6225,U,159
0,0,0,1,0,0,MTR25537,Cluster_4,RO,Brazil,PN_Pacaas_Novos,-10.7692,-63.6225,U,162
0,0,0,1,0,0,MTR25538,Cluster_4,RO,Brazil,PN_Pacaas_Novos,-10.7692,-63.6225,U,161
0,0,0,1,0,0,MTR25597,Cluster_4,RO,Brazil,PN_Pacaas_Novos,-10.7692,-63.6225,U,154
0,0,0,1,0,0,MTR25668,Cluster_4,RO,Brazil,PN_Pacaas_Novos,-10.7692,-63.6225,U,160
0,0,0,1,0,0,MTR25978,Cluster_4,RO,Brazil,PN_Pacaas_Novos_base_Jaci,-10.5275,-63.9734,G,157
0,0,0,1,0,0,MTR25984,Cluster_4,RO,Brazil,PN_Pacaas_Novos_base_Jaci,-10.5275,-63.9734,G,158
0,0,0,1,0,0,MTR25985,Cluster_4,RO,Brazil,PN_Pacaas_Novos_base_Jaci,-10.5275,-63.9734,G,156
0,0,0,1,0,0,MTR26007,Cluster_4,RO,Brazil,PN_Pacaas_Novos_base_Jaci,-10.5275,-63.9734,G,155
